iter	Passed	Remaining
761	3850	1202
762	3854	1197
763	3859	1192
764	3863	1186
765	3868	1181
766	3873	1176
767	3878	1171
768	3882	1166
769	3887	1161
770	3891	1155
771	3896	1150
772	3900	1145
773	3904	1140
774	3909	1134
775	3913	1129
776	3918	1124
777	3922	1119
778	3928	1114
779	3932	1109
780	3936	1103
781	3941	1098
782	3945	1093
783	3950	1088
784	3954	1083
785	3959	1077
786	3963	1072
787	3967	1067
788	3972	1062
789	3976	1057
790	3981	1051
791	3985	1046
792	3989	1041
793	3994	1036
794	3998	1031
795	4002	1025
796	4007	1020
797	4011	1015
798	4015	1010
799	4020	1005
800	4023	999
801	4028	994
802	4032	989
803	4036	984
804	4040	978
805	4044	973
806	4048	968
807	4053	963
808	4058	958
809	4061	952
810	4065	947
811	4069	942
812	4074	937
813	4078	932
814	4083	926
815	4087	921
816	4091	916
817	4096	911
818	4100	906
819	4104	901
820	4109	895
821	4113	890
822	4118	885
823	4122	880
824	4127	875
825	4131	870
826	4135	865
827	4140	860
828	4145	855
829	4149	849
830	4154	844
831	4157	839
832	4162	834
833	4166	829
834	4171	824
835	4176	819
836	4180	814
837	4185	809
838	4189	803
839	4193	798
840	4197	793
841	4202	788
842	4206	783
843	4210	778
844	4214	773
845	4219	768
846	4224	763
847	4229	758
848	4234	753
849	4240	748
850	4245	743
851	4249	738
852	4255	733
853	4260	728
854	4264	723
855	4269	718
856	4274	713
857	4278	708
858	4282	702
859	4287	697
860	4291	692
861	4296	687
862	4301	682
863	4305	677
864	4310	672
865	4314	667
866	4319	662
867	4323	657
868	4328	652
869	4332	647
870	4338	642
871	4342	637
872	4347	632
873	4351	627
874	4356	622
875	4362	617
876	4369	612
877	4374	607
878	4379	602
879	4385	597
880	4390	593
881	4395	588
882	4400	583
883	4405	578
884	4411	573
885	4416	568
886	4421	563
887	4426	558
888	4432	553
889	4439	548
890	4446	544
891	4453	539
892	4460	534
893	4468	529
894	4475	525
895	4482	520
896	4488	515
897	4495	510
898	4503	505
899	4511	501
900	4519	496
901	4525	491
902	4534	487
903	4539	482
904	4544	477
905	4550	472
906	4555	467
907	4560	462
908	4565	457
909	4570	452
910	4577	447
911	4583	442
912	4587	437
913	4592	432
914	4597	427
915	4601	422
916	4606	416
917	4610	411
918	4615	406
919	4619	401
920	4623	396
921	4628	391
922	4633	386
923	4637	381
924	4642	376
925	4647	371
926	4652	366
927	4657	361
928	4661	356
929	4666	351
930	4671	346
931	4676	341
932	4681	336
933	4685	331
934	4690	326
935	4695	321
936	4700	316
937	4704	310
938	4709	305
939	4717	301
940	4722	296
941	4728	291
942	4734	286
943	4741	281
944	4748	276
945	4753	271
946	4759	266
947	4765	261
948	4771	256
949	4777	251
950	4783	246
951	4788	241
952	4795	236
953	4801	231
954	4806	226
955	4812	221
956	4817	216
957	4822	211
958	4829	206
959	4835	201
960	4839	196
961	4845	191
962	4850	186
963	4855	181
964	4861	176
965	4865	171
966	4871	166
967	4877	161
968	4881	156
969	4886	151
970	4891	146
971	4896	141
972	4901	136
973	4907	130
974	4913	125
975	4918	120
976	4924	115
977	4929	110
978	4934	105
979	4938	100
980	4943	95
981	4948	90
982	4953	85
983	4958	80
984	4963	75
985	4968	70
986	4973	65
987	4978	60
988	4983	55
989	4988	50
990	4993	45
991	4998	40
992	5003	35
993	5009	30
994	5014	25
995	5019	20
996	5025	15
997	5031	10
998	5037	5
999	5042	0
